"id_q","reputation_a","votecount"
29806,8601,1
29806,13,1
29845,2646,7
29883,161,1
29976,1226,1
30295,5404,1
30295,18,2
30297,7051,1
30297,66973,1
30302,594,9
30302,2098,4
30337,1173,1
30337,3309,1
30379,1260,1
30379,90,1
30397,19043,1
30397,5731,1
30521,24855,2
30752,2098,2
30752,682,1
30770,87802,2
30781,1126,1
30800,1447,1
30800,309,2
30861,71,3
30861,15497,8
30972,3890,1
30972,442,1
31128,141,1
31221,1045,1
31221,3117,12
31249,2234,5
31410,2304,4
31424,4862,5
31465,713,5
31465,41,4
31534,6762,2
31534,1831,3
31592,22317,1
31673,91,1
31673,818,1
31701,439,2
31701,1944,2
31812,150,1
31818,4706,2
31854,6558,1
31854,1724,3
32173,5426,2
32241,1389,3
32338,1476,2
32338,2057,2
32397,4804,7
32397,722,7
32460,33797,1
32462,9790,1
32462,2730,1
32513,3001,1
32642,9790,3
32689,4333,2
32803,556,4
32803,90,1
32914,33465,1
32914,677,1
33089,33333,1
33089,495,6
33103,1187,9
33103,1254,1
33233,77,1
33233,765,1
33252,747,1
33252,747,1
33334,177138,1
33334,7092,2
33349,28,3
33390,1389,5
33484,385,4
33484,1944,4
33577,1759,6
33577,556,10
33590,9564,2
33637,9564,5
33751,300,2
33751,1555,2
33901,385,8
33937,51,1
33955,1979,2
33955,1020,4
33971,381,2
34019,2825,2
34243,967,2
34262,3012,2
34304,2797,1
34304,12848,3
34365,2450,2
34394,7713,1
34428,28090,1
34579,8799,1
34579,606,4
34638,282,5
34698,278,1
34698,161,2
34709,385,2
34709,1831,1
34711,79,1
34802,29,2
34806,399075,1
34913,606,4
34913,536,14
34925,8162,1
34988,1219,2
35102,10621,1
35194,371,1
35208,15210,3
35240,21,2
35292,347,1
35355,3001,1
35355,26,1
35380,1163,1
35380,598,3
35402,1128,1
35420,2760,2
35479,20821,2
35479,627,2
35491,32037,1
35491,4453,3
35548,1467,3
35634,5067,8
35634,71,2
35639,3360,1
35727,855,12
35727,6762,19
35798,73,1
35805,455,21
35805,646,4
35905,347,4
35905,90,1
35914,3185,2
35914,1759,4
36028,91,1
36028,1493,2
36054,1979,1
36054,4623,1
36079,4079,3
36079,91,6
36101,1087,5
36197,2098,8
36262,11721,4
36262,77,1
36326,7092,5
36326,2873,1
36515,1161,3
36515,1022,6
36876,2128,5
36915,4700,1
37053,2450,2
37069,4648,2
37070,2450,13
37101,8731,3
37296,236,3
37296,5732,1
37501,176,6
37573,5487,1
37597,5222,3
37650,4333,11
37783,53,3
37783,176,5
37812,908,3
37821,941,1
37845,319,1
37845,1570,3
37912,80,1
37996,118,1
38010,1307,3
38125,7248,3
38295,33797,2
38295,179,1
38421,4477,4
38421,1085,14
38435,9116,1
38510,842,1
38510,2234,3
38592,2732,1
38618,150,4
38629,1534,2
38661,478,1
38726,11934,1
38726,1775,1
38763,1,1
38763,730,1
38779,309,3
38779,9659,2
38842,4793,1
38842,1186,6
38901,2450,2
38901,568,1
38940,9567,9
38940,5085,5
38952,8601,1
39006,6026,1
39059,4333,1
39059,58599,2
39254,5095,2
39391,323,1
39391,8050,4
39525,6310,1
39525,1709,1
39663,515,6
39674,10879,1
39734,5396,2
39739,15436,10
39780,713,2
39856,8050,5
39892,170,7
39892,159,4
39929,455,7
40021,284,1
40021,103,1
40028,2527,2
40043,2450,11
40043,652,1
40125,18,2
40151,97,2
40151,28687,3
40171,7535,4
40171,53,2
40322,466,3
40352,9465,2
40376,1632,2
40376,587,4
40531,2262,2
