ParentId, Reputation, Votes
441739,542,3
442187,23222,1
442384,15068,9
443305,1087,2
443642,1369,3
446380,18942,4
447391,698,3
447546,559,3
447840,54390,4
448009,490,1
448514,575,1
448842,978,1
449241,2234,6
450107,1040,4
453808,1281,3
454989,37014,3
455132,2001,1
455184,713,6
459126,344,1
459233,14504,3
460815,1037,6
461068,16924,1
464736,1149,6
465040,2037,1
467094,79,13
467329,1063,4
467854,1464,2
467934,797,1
467986,13567,4
469072,291,1
470696,1348,1
472137,1037,8
472977,17903,3
474107,3958,2
475367,2925,1
476474,4087,2
476591,2583,1
479353,66973,5
479926,4804,2
479929,14424,5
481122,1037,6
482314,151,3
482647,3377,2
483400,2426,1
484130,724,1
484220,1467,1
484241,955,3
484926,363,1
486380,6092,1
487649,1343,1
487671,156,6
487737,556,2
487849,3483,1
488154,1403,1
490053,2037,1
490682,2121,1
492507,6612,2
492977,3444,1
493613,6303,3
494109,384,5
494397,912,2
495744,11935,2
495868,2489,1
495963,181,1
497133,34636,5
498363,5726,3
499200,213,1
499328,46802,2
499578,366,2
500995,101,1
501085,444,1
501363,1594,1
501511,894,3
503310,219,1
503894,6825,2
504122,363,1
504887,118,4
505314,410,2
505397,2329,7
506284,33515,1
506702,97,1
507376,177,1
507526,978,3
508441,544,2
509317,4546,4
509391,14405,1
510097,3365,4
512157,17159,1
513944,958,4
514155,135,4
515317,68202,3
515531,215,5
515844,514,28
516501,556,6
516521,3589,1
516798,935,1
516951,92,1
517434,188,2
520013,323,2
520811,5193,2
521723,213,2
521921,1020,6
523001,594,3
525336,2484,2
525362,864,2
527851,120,2
528767,6325,3
529836,784,4
530760,6541,1
530808,1603,3
531171,1496,3
532566,943,2
532670,542,18
532773,157,3
533305,1380,2
533817,165,9
534963,6633,3
535053,670,5
535353,474,3
537848,317,1
539339,1655,1
539774,1237,2
540889,6325,3
542439,417,14
542580,899,2
544476,13401,1
545957,3234,14
547195,1099,6
548657,3452,1
550826,784,5
552280,2039,2
553246,657,12
554145,205,2
555344,175,5
555391,186,6
556592,23222,5
556787,3485,1
557344,4538,2
557675,3801,2
559853,1798,7
560663,10224,3
561457,1813,2
563308,6825,3
564358,141,3
564676,1149,1
565030,747,5
565368,429,5
566362,128,8
567491,566,3
568412,4216,1
569423,4741,1
570052,4148,3
571635,97485,1
571898,935,8
572969,360,3
573487,132,3
574818,1403,1
577205,1467,4
577379,556,4
579770,22303,2
579812,404,2
580229,1603,2
580277,344,5
580941,135,6
581110,632,2
581491,20075,1
582365,1068,2
582431,399075,3
582726,1745,2
582798,362,1
583004,344,2
583391,1416,1
585651,913,2
586235,10685,3
586482,4148,1
586653,5395,3
589841,23018,4
590859,503,6
592581,435,1
593258,99,1
594428,1068,1
595045,1038,6
595320,153,1
596236,174,1
596686,1040,1
597134,899,3
597813,978,3
598722,372,4
599304,1040,1
602232,1457,1
603287,97485,7
603895,1913,2
604993,15379,2
605148,458,2
606124,784,4
606135,176,1
606690,671,6
606713,918,1
606765,1068,1
606786,197,1
606946,5395,1
606984,1380,2
607813,10383,1
608088,3695,3
609596,17004,6
609697,726,1
609735,2295,3
610021,4226,3
610680,387,4
611471,35434,2
611802,360,1
611981,1590,8
612571,141,1
613276,24902,2
614233,37014,3
615354,530,3
615541,2522,6
616036,1645,1
616301,1098,2
616389,1069,1
617175,1635,1
617598,656,2
617867,4968,1
617889,561,1
618103,17004,1
621121,326,2
621262,14424,3
623004,458,2
623208,289,1
623864,6310,2
624009,3557,4
624252,2489,1
624668,203,4
624671,2053,1
625636,876,1
626290,52934,2
626835,1265,1
627670,435,5
628235,5034,1
629115,871,1
629864,933,2
630248,1195,2
633627,6298,2
635247,1210,3
635627,344,2
637543,5957,3
637613,8859,3
637620,18128,1
639141,148,1
640717,5486,3
640857,114,1
641121,1658,2
641182,329,1
641265,399,5
641641,404,3
642000,7230,3
642163,363,5
642741,566,3
642801,1831,8
643169,323,2
643812,20533,1
645305,4277,1
645733,1052,2
646127,1019,1
648542,645,1
648638,1838,1
649806,33797,1
649993,466,2
651242,1109,3
651962,252,2
652518,4892,3
652535,132,4
653122,29527,5
659692,2511,2
659858,5797,1
660294,5340,4
662582,44497,1
664717,6230,5
664819,3777,5
665676,5311,2
666757,5782,1
666899,923,2
668210,5104,3
670138,7319,2
672079,359,1
673962,121,1
674783,515,1
675815,22174,1
678409,21974,1
679225,202,1
679357,4967,2
679404,1673,1
679829,6975,4
680518,359,6
680863,3169,1
680912,401,2
681549,1949,3
681979,12488,1
681986,476,1
682762,348,3
683138,1229,3
684382,376,4
685851,455,1
686822,556,2
689587,211,1
690356,123,1
693318,620,1
693342,116,1
694003,405,1
694212,332,3
694493,363,3
696830,657,3
697286,52934,3
697389,5457,1
698222,121,2
698285,198,2
698509,899,2
699510,779,2
700680,1037,1
702192,1555,2
702195,6037,3
702409,850,1
704334,10208,2
704642,2137,1
705475,522,1
705659,11667,1
706173,1549,4
706369,5082,2
707981,978,13
709066,54212,18
709746,121,2
710123,139,1
710127,363,1
710570,724,1
712616,672,5
713377,855,1
713398,127,2
714171,71895,2
714456,1785,2
714879,1170,1
715920,488,6
716463,102,3
716683,4228,1
717192,1393,1
717392,9574,1
718219,110,2
718443,1037,5
720126,69004,1
720326,16455,4
720620,4087,1
721049,3866,3
721296,2767,1
721380,3333,1
721772,1810,4
722383,2475,5
722487,4359,1
722488,92,1
