ParentId, Reputation, Votes
475367,107,2
476474,96,2
476591,88,5
479353,76,3
479926,85,1
479929,96,1
481122,99,3
482314,96,3
482647,93,3
483400,113,1
484130,77,2
484220,79,8
484241,121,5
484926,81,1
486380,100,3
487649,81,2
487671,76,1
487737,118,1
487849,76,1
488154,75,1
490053,86,1
490682,96,2
492507,118,1
492977,96,1
493613,77,1
494109,86,3
494397,99,3
495744,121,1
495868,88,2
495963,99,3
497133,88,4
498363,88,4
499200,99,2
499328,81,1
499578,99,5
500995,96,3
501085,92,5
501363,88,5
501511,92,1
503310,121,8
503894,99,1
504122,81,1
504887,97,1
505314,92,1
505397,86,14
506284,101,1
506702,89,1
507376,76,3
507526,92,2
508441,116,1
509317,96,2
509391,121,1
510097,79,1
512157,121,1
513944,99,3
514155,77,1
515317,88,1
515531,94,2
515844,82,39
516501,76,1
516521,92,3
516798,113,4
516951,88,3
517434,101,1
520013,99,1
520811,99,1
521723,119,3
521921,88,2
523001,99,1
525336,88,10
525362,107,1
527851,76,3
528767,95,1
529836,88,7
530760,99,1
530808,96,1
531171,86,5
532566,95,2
532670,110,7
532773,99,3
533305,95,7
533817,110,7
534963,76,8
535053,88,5
535353,93,1
537848,88,4
539339,86,1
539774,91,1
540889,86,2
542439,92,2
542580,113,3
544476,86,4
545957,82,7
547195,121,2
548657,106,4
550826,93,2
552280,99,1
553246,76,3
554145,97,12
555344,76,6
555391,124,1
556592,81,5
556787,78,1
557344,106,3
557675,76,2
559853,83,2
560663,81,2
561457,76,5
563308,81,4
564358,119,4
564676,76,1
565030,82,3
565368,91,1
566362,77,5
567491,99,11
568412,104,3
569423,81,1
570052,76,3
571635,109,1
571898,121,8
572969,76,5
573487,76,5
574818,93,2
577205,115,2
577379,115,3
579770,91,11
579812,117,1
580229,116,4
580277,91,5
580941,116,2
581110,103,1
581491,86,1
582365,99,2
582431,121,1
582726,76,2
582798,123,3
583004,95,1
583391,107,1
585651,101,1
586235,81,3
586482,120,1
586653,121,3
589841,120,1
590859,76,3
592581,86,1
593258,91,4
594428,92,1
595045,110,2
595320,81,2
596236,118,2
596686,92,3
597134,121,2
597813,92,4
598722,82,3
599304,86,1
602232,101,2
603287,91,8
603895,113,3
604993,92,6
605148,122,1
606124,101,5
606135,113,2
606690,97,1
606713,99,2
606765,99,3
606786,82,2
606946,109,4
606984,76,3
607813,86,1
608088,106,2
609596,103,2
609697,86,1
609735,113,2
610021,86,6
610680,91,5
611471,92,2
611802,116,1
611981,114,3
612571,101,1
613276,113,1
614233,113,5
615354,121,2
615541,114,12
616036,103,3
616301,81,1
616389,122,1
617175,93,1
617598,122,3
617867,78,4
617889,111,1
618103,76,1
621121,112,3
621262,78,6
623004,88,1
623208,81,1
623864,101,1
624009,109,3
624252,99,1
624668,99,3
624671,92,2
625636,113,5
626290,91,2
626835,76,4
627670,92,1
628235,92,2
629115,92,1
629864,99,1
630248,106,1
633627,109,2
635247,92,1
635627,88,2
637543,92,4
637613,122,2
637620,88,1
639141,103,1
640717,106,1
640857,88,2
641121,76,3
641182,102,1
641265,118,7
641641,91,1
642000,86,3
642163,81,1
642741,106,3
642801,81,1
643169,106,4
643812,92,1
645305,88,4
645733,100,1
646127,91,2
648542,89,3
648638,113,5
649806,86,1
649993,99,2
651242,82,3
651962,99,2
652518,86,1
652535,81,6
653122,88,12
659692,89,2
659858,99,2
660294,114,1
662582,83,2
664717,101,2
664819,121,2
665676,92,3
666757,113,3
666899,121,2
668210,92,1
670138,120,2
672079,121,1
673962,98,2
674783,101,2
675815,88,5
678409,83,1
679225,81,6
679357,86,1
679404,116,1
679829,78,4
680518,101,4
680863,83,2
680912,92,3
681549,93,1
681979,84,1
681986,96,1
682762,93,3
683138,89,1
684382,93,1
685851,93,1
686822,104,1
689587,121,2
690356,113,4
693318,113,1
693342,102,1
694003,101,4
694212,81,3
694493,81,2
696830,103,2
697286,101,1
697389,76,1
698222,118,2
698285,78,1
698509,93,2
699510,79,6
700680,122,1
702192,121,2
702195,122,1
702409,96,1
704334,81,1
704642,93,1
705475,103,4
705659,121,1
706173,113,8
706369,83,3
707981,91,4
709066,113,6
709746,99,1
710123,86,1
710127,83,1
710570,98,1
712616,88,1
713377,99,2
713398,106,2
714171,76,11
714456,96,6
714879,103,1
715920,78,6
716463,92,2
716683,104,1
717192,99,1
717392,95,1
718219,99,2
718443,86,1
720126,91,1
720326,93,4
720620,92,1
721049,92,3
721296,92,3
721380,92,2
721772,92,5
722383,105,2
722487,106,1
722488,76,4
722739,92,3
726629,106,1
727113,121,3
727338,93,1
729497,101,3
729687,93,1
730143,96,5
731093,99,1
732207,120,1
732563,112,1
732754,109,1
734583,121,4
734990,76,5
736638,82,3
736772,75,1
737255,96,1
737809,83,4
738467,96,7
738527,108,5
738859,92,1
739311,92,1
740302,107,1
741294,116,5
741857,107,2
743523,113,1
744990,86,1
745595,92,2
745969,99,1
746298,111,1
749248,99,16
750153,107,2
751392,81,1
751455,92,1
753537,92,5
753615,108,1
753636,111,2
754420,92,4
754546,99,1
754666,99,4
755796,99,11
756216,92,1
757255,119,1
757809,118,1
757922,91,4
758605,83,2
758794,99,1
758880,99,1
759551,76,1
759903,78,2
760761,113,1
760781,103,2
763008,78,3
763793,107,3
765285,123,2
765526,92,6
765854,104,3
766096,76,1
766149,81,3
766566,99,4
767181,83,2
767944,113,1
769156,123,5
770107,88,7
770342,81,12
770631,121,2
771966,76,2
773622,76,1
774774,99,7
777858,113,2
779318,105,2
782303,81,2
783623,81,2
785039,122,3
785510,86,4
788398,76,2
789404,81,8
789818,121,1
789827,124,4
790525,81,9
791016,81,1
791155,81,5
791352,89,2
791600,92,2
792891,121,1
794531,81,8
795224,93,6
795312,114,1
795512,75,6
795963,80,1
796734,90,1
797723,101,1
798553,99,2
799530,88,2
801958,110,1
802250,106,1
802348,80,2
802357,121,1
804180,116,1
804969,105,3
805027,80,2
805199,78,2
807457,103,1
807703,81,14
809356,81,1
811217,81,1
811314,94,1
811562,99,2
811737,121,1
812146,121,1
812288,83,4
812882,100,5
813240,122,1
814637,99,1
815074,98,1
815784,115,2
815845,99,3
816288,109,3
816557,91,2
816963,99,2
817431,109,11
817480,81,4
818435,86,1
820423,95,1
821220,81,2
821375,110,1
822554,78,1
823376,83,2
823727,106,1
824052,121,2
825107,88,1
826307,83,1
826663,109,8
826904,79,2
827395,81,11
829555,89,4
831188,93,1
831301,84,8
831319,116,1
831499,101,6
832185,115,1
832626,97,2
833381,101,1
833481,87,1
835276,80,2
835420,81,1
835836,98,2
836440,76,2
837993,89,4
839465,82,1
839705,108,1
840011,114,2
840674,101,1
841952,101,3
843146,81,9
843290,76,1
844027,121,2
844145,99,2
844388,89,2
844862,95,2
846600,93,2
847448,106,3
849927,85,1
849955,123,2
852794,99,1
852986,76,1
855647,81,2
856588,93,1
856761,122,1
858442,75,2
858977,116,5
859314,84,2
859496,76,2
860467,96,1
860918,103,1
861060,76,7
861866,121,13
862111,116,3
862828,110,1
863005,79,1
863285,79,4
863830,85,1
865581,79,1
866860,101,1
867499,76,1
867530,121,1
868701,101,1
869525,88,1
870188,86,2
871188,76,1
872380,108,1
873008,84,2
873544,79,5
873702,93,3
876206,103,2
876258,81,2
876617,106,1
879704,86,1
882382,99,1
882407,76,2
882646,114,1
883699,81,4
883958,116,2
886447,86,3
886451,93,1
888063,111,6
891016,99,1
891990,110,2
892426,75,1
892777,124,3
892934,93,1
894397,81,1
896207,83,1
896439,76,1
897880,98,2
898286,83,5
898519,105,3
898999,108,1
899001,85,1
899016,81,3
899057,82,3
899198,81,2
903637,99,1
905424,78,5
905530,113,1
905897,110,1
905999,96,1
906001,93,1
907861,109,1
909264,93,3
911712,81,3
913489,116,2
914036,99,2
915442,81,3
916067,107,3
917112,86,3
917138,105,1
917379,119,1
917612,76,1
917679,95,2
920077,121,2
920920,86,1
921391,105,1
921792,93,2
922606,75,1
923806,86,1
924102,111,1
924211,99,1
925536,81,2
926180,86,3
926935,86,1
927642,81,3
928662,116,6
929600,76,2
929975,116,1
930594,114,1
931466,81,1
931573,90,1
933118,86,1
933439,86,2
935071,93,1
935590,104,5
935787,81,3
935958,105,6
936226,111,2
938230,82,3
938635,101,5
940508,83,5
940572,93,1
941296,86,4
942267,106,1
943216,98,1
943911,121,2
944031,103,3
944167,110,10
944226,106,1
944763,93,3
944838,99,7
945898,116,5
946409,111,2
949259,103,1
949964,119,1
950268,93,2
950354,93,1
950724,116,2
952229,85,1
953017,96,2
953082,121,2
954085,113,2
954247,111,5
954307,104,2
954398,116,7
954846,112,2
955999,99,2
956166,76,1
957337,93,2
958350,83,5
958754,101,1
959209,124,3
959797,123,1
961446,91,1
961973,103,1
962174,99,2
962231,103,4
962436,99,2
962475,88,8
963594,115,1
963599,116,2
964535,90,2
964945,88,5
965108,93,2
966029,81,3
966933,103,1
967781,96,2
967837,106,1
968798,104,1
969278,118,1
969939,116,11
970017,91,5
972376,79,7
973073,101,1
975590,80,5
976357,86,3
976527,104,1
978187,78,1
978932,76,2
979200,76,3
979735,76,1
980166,116,2
980928,86,4
981399,123,8
981496,116,1
982367,96,9
982566,122,1
982697,88,2
982998,122,1
984263,76,1
985338,79,1
987283,102,1
987537,122,1
987886,81,1
990141,115,2
991343,122,2
991583,114,5
992220,76,1
993905,103,1
994095,77,2
994359,114,2
994950,90,1
996464,99,3
996506,101,4
999004,97,3
999123,93,1
1002092,123,3
1002185,121,1
1002926,113,3
1004442,75,1
1005416,93,1
1007493,86,2
1008308,114,3
1008331,91,3
1009445,103,1
1009940,115,1
1010339,88,1
1011536,113,3
1011677,88,2
1012054,76,3
1015449,76,3
1016112,95,2
1017381,113,1
1018704,78,1
1019839,104,2
1020798,101,1
1021613,117,1
1021933,106,1
1021988,106,5
1022803,85,1
1022966,114,1
1023413,86,4
1023955,123,4
1025171,90,2
1025390,77,2
1026513,76,9
1026945,91,1
1027658,81,7
1028313,91,3
1028719,86,2
1031289,111,3
1031357,92,4
1031503,79,1
1031861,93,1
1032119,76,1
1033524,93,3
1033580,86,1
1033703,77,1
1034408,93,2
1036279,93,1
1036782,93,1
1036864,81,3
1036884,76,9
1037248,121,2
1037478,108,8
1040269,81,1
1041373,113,1
1042868,101,1
1043027,85,1
1043246,111,2
1044215,76,6
1045827,103,5
1046234,97,6
1046577,93,1
1047505,91,1
1047663,116,2
1047947,88,1
1048401,99,1
1049379,76,4
1049674,88,2
1049682,86,3
1051843,93,1
1053855,79,1
1054057,77,1
1054285,120,1
1054476,79,1
1058258,111,2
1058881,77,1
1059826,97,4
1060137,83,2
1062129,117,2
1062690,94,1
1063255,106,1
1063857,101,15
1064196,121,2
1064473,91,2
1064981,93,2
